Identificador|periodo|DIAS1|DIAS2|DIAS3|DIAS4|DIAS5|DIAS6|DIAS0|Numero_Producto|GENERO|Saldo_Mora1|Cupo|Saldo_Mora2|Saldo1|Saldo_Mora3|Saldo2|Saldo_Mora4|Saldo3|Saldo_Mora5|Saldo4|Saldo_Mora6|Saldo5|Saldo6
92966485509|201809|0|8|0|9|6|NA|6|4|F|945426.61|41354585.32|0|39864948.43|0|39311904.22|945863.31|39699794.56|0|38188963.41|0|37615771.99|37033285.62
92966477863|201712|0|0|0|0|0|0|0|1|F|||||||||||||
92966441983|201806|0|0|0|0|0|0|0|1|M|721172,9|34412521,93|0|33329200,28|0|32963615,7|0|32594562,18|0|32222007,19|0|31845917,38|31466259,22
92966471149|201709|0|0|0|0|0|0|0|1|F|56285|2958652,25|63162|2856006,36|59295|3037605,3|58913|2644359,53|56850|2668227,26|52502|2637277,95|2517000,3
92966452170|201709|0|0|0|0|6|0|0|1||0|8667857,98|0|8503025,78|0|8335705,36|0|8165858,56|0|7993447,18|0|7818433,07|7640777,05
92967396298|201809|118|148|176|210|238|NA|85|2|M|428558.88|1584192.22|534741.11|1620535.22|630218.17|1656021.22|736034.45|1692838.22|839069.57|1729532.22|1873258.22|1763133.22|1799832.22
92967427449|201803|0|0|0|0|0|9|0|1|M|117731|5304685,56|115023|4915767,18|110301|4607161,43|99214|4229566,67|100361|5307893,86|119665|4973965,62|4603312,76
92966438571|201712|21|49|77|79|110|0|18|3|M|0|37929655,04|1566626,6|38384443,27|0|35693361,72|0|34556147,02|0|33406027,77|0|32242857,54|31066488,24
92966451426|201803|0|27|25|57|88|116|24|1||226864,71|7476616,87|213651,88|7368598,31|214818,18|7273407,36|222671,95|7183327,85|189924,07|7051044,77|220488,75|6980445,45|6877340,43
92967501771|201806|0|0|0|0|0|0|0|1|M|0|0|25365|9018926|6401|8607169,11|107329|10051085,11|114776|10104215,13|125879|10124173,18|10090869,2
92966445682|201709|0|0|0|0|0|0|0|1|M|||0|43000000|0|43000000|0|43365586,6|0|43110137,53|0|42851869,33|42590737,98
92967398012|201809|0|0|0|0|0|NA|0|1|M|94415|5052088.93|100735|5019251.56|36348|52348|0|0|8920|1027120|28752|2620273.87|4825283.02
92966440827|201712|0|0|0|0|0|0|0|1|M|0|17409964,07|0|16907763,93|0|16399313,82|0|15884536,07|0|15363351,98|0|14835681,88|14301445,07
92966464200|201803|0|0|0|0|0|0|0|1|F|0|18330009,21|0|18226101,66|0|18120640,01|0|18013601,02|0|17904961,45|0|17794697,04|17682783,55
92966525634|201803|0|NA|NA|NA|NA|NA|0|1|M|||||||||||||
92966449068|201806|0|0|0|0|0|0|0|1|M|932664,5|21159561,01|0|20024906,78|0|19820373,98|0|19613265,93|0|19403549,96|0|19191194,1|19452182,11
92966512355|201712|43|71|99|103|134|163|9|1|M|72697|2992044,47|74216|2929779,04|204643,5|2991344,04|341494,2|3061232,04|90293|3205073,04|957255,5|931632,5|952828,5
92966503338|201712|0|0|0|0|0|0|24|2|M|0|41802|0|300243|0|2654314|21323|2213986,36|1376172|2292327,36|90867|252271,72|3447304,21
92966442045|201806|0|0|0|0|0|0|0|2||165212|9165212|203608|9143820|202139|9066959|193822|8995061|198475|8925816|190214|8834310|8758457
92966443508|201712|13|0|10|0|0|11|10|2|M|0|7603445,18|0|7436323,12|0|7266713,12|0|7094578,94|0|6919882,34|0|6742585,07|6562649,06
92967501575|201806|118|149|177|210|240|268|86|4|M|5974|675413|6505|652290|10655|1078121|32535|1124601|11935|1087660|33358|1109083|1105562
92966512932|201803|30|31|29|31|31|0|28|2|M|||||||||||37485|55334505,58|55314561,82
92967425200|201806|0|0|0|0|0|0|0|1|M|0|38147220,02|0|37902413,29|0|37654891,68|0|37404624,92|0|37151582,77|0|36895734,97|36637050,25
92966480432|201803|0|0|0|0|0|0|0|1|F|||||||||||||
92966525791|201709|116|146|174|208|236|264|84|3|M|||||||0|161000|0|211305|0|178305|1711
92967430948|201806|113|144|172|205|235|263|81|3||124871|3867092,7|134828|4760453,99|152666|4842310,87|153318|4623420,1|132650|4316166,05|126515|4721545,36|4857659,75
92966445226|201712|0|0|0|0|0|0|0|1|M|7496|339343,66|8980|341200,55|7228|332296,99|7893|327446,68|7510|320813,3|7608|315132,58|307760,62
92966477696|201709|0|0|0|0|0|0|0|1||0|16789,21|267|240535|11204|577858|12825|569246,98|10971,45|662453,43|12817|529169,3|647933,5
92966454349|201803|0|0|0|0|0|21|21|2|M|||||||||||||
92967417433|201809|0|0|0|0|0|NA|0|4|M|0|0|0|35000|0|368151|0|79600|159|534179|0|19705.77|52250
92966456127|201809|0|0|0|0|0|NA|0|1|M|154413|6124378.97|132477|5448855.97|110902|4886913.8|100754|4094311.97|88918|3403779.97|128790|5355769.97|8671557.97
92966486152|201809|42|NA|NA|NA|NA|NA|9|1|F|0|0|0|0|0|0|0|0|0|0|0|0|0
92966467544|201803|8|0|0|0|9|6|6|1|F|602238,73|34518786,89|605830,19|34485206,01|555615,26|34331958,6|1734241,9|34785614,38|610627,86|33432514,93|562113,73|33104270,93|32827029,61
92966463371|201803|0|0|0|0|0|0|0|1||||||||||||||
92967446750|201712|0|0|0|0|0|0|0|1||0|0|0|0|0|0|0|0|0|293305|0|293305|0
92967389204|201806|0|0|0|0|0|0|0|1|M|43600|2839350,86|41784|2826844,91|237603,63|3101628,06|310636,63|3165927,06|525882,3|3240219,06|320352,56|2830821,06|2451395,91
92966456255|201806|0|0|9|0|0|0|0|1||103646|4287264,66|98184|4459563,07|378687,69|4562171,07|92541|4098800,55|85996|3667520,51|77421|3419406,32|3402280,75
92967451876|201712|0|0|0|0|0|0|0|1|F|||||||||||||
92967396272|201803|0|0|0|0|0|22|0|1|F|||||||||||||
92966507942|201709|75|105|133|167|195|223|43|1||15219|724185,32|60803,07|739876,32|18587|666402,64|27984,11|706853,75|30169,11|722417,75|91118,11|794860,75|0
92966486168|201712|0|0|0|0|0|0|0|1|F|||||||||||||
92966449464|201803|61|61|90|122|NA|NA|28|1|M|4384834,01|17248292,69|2015945,62|14050484,81|3103627,53|14296266,45|1455231,43|11792785,2|2528713,53|11997790,17|1716745,62|10303744,03|10484138,78
92966468320|201709|0|0|0|0|0|0|0|1|F|0|0|0|0|0|0|0|0|0|0|0|0|0
92966511000|201712|0|0|0|0|0|0|0|1|M|0|60319787|1045713,66|61095145,78|0|59775761,29|0|59498724,61|0|59218279,87|0|58934385,84|58647000,45
92966458738|201712|0|0|0|0|0|6|0|1||||||||||||||
92966487566|201709|46|15|0|0|0|0|45|1|F|508399,7|27144344,57|520172,75|26881470,07|478676,97|26561078,77|55422,24|25855615,03|335029,79|25847677,71|449000,6|25669166,64|25371020,05
92966466697|201709|104|134|162|196|224|252|72|1|F|123326|3791698,64|18999|1695243,64|105751|5375115,64|133735|6019026,09|15023,55|6503594,64|443373,52|6369714,64|6413083,2
92967470542|201806|0|0|0|0|0|0|0|1|M|||||||||||||
92966438521|201712|0|0|0|12|0|0|9|1||69493|3526917,09|95890,89|3685469,65|77099|3988858,65|91767|4076471,66|90846|4132677,97|93156|3939412,19|3961072,38
92966452433|201803|0|0|0|0|0|0|0|1|M|||||||||||||
92966448416|201712|0|23|51|84|115|144|55|2|M|65421,72|1434239,72|79301,72|1424247,72|46566|1430434|16389|1370291,72|17652|1349560,72|48631|1432539,72|1423013,72
92967382772|201809|0|0|0|0|0|NA|0|1||0|0|0|0|0|0|0|0|0|0|0|0|0
92966473330|201809|0|0|0|0|0|NA|0|1|F|||||0|3002662.75|0|2937108.98|0|2870682.55|0|2804614.83|2847653.51
92966478973|201806|0|0|0|0|0|0|0|1||0|0|0|0|0|0|0|0|0|0|0|0|0
92966454096|201712|0|9|0|0|0|0|0|1|M|||||||||||||
92966512225|201709|6|5|3|6|3|3|4|1|M|0|12038195,63|0|11552458,91|0|11058843,72|615419,2|11172640,83|0|10047462,24|0|9529434,1|9003003,8
92966504894|201806|0|0|0|0|1|NA|31|1|M|0|67307699,12|0|67908665,8|0|68509632,48|0|69110599,16|0|69711565,84|25931701,5|70400979,85|44841763,54
92966529648|201803|0|0|0|0|0|0|0|1|M|||||||||||||
92967476201|201803|0|0|0|0|0|0|0|1||||||||||||0|9083263,45|8992965,04
92966449553|201712|0|0|0|0|0|0|0|1|M|0|16588635,1|0|16366686,71|0|16142138,18|0|15914959,25|0|15685119,66|0|15452587,12|15217330,39
92966442488|201712|0|0|0|0|0|0|0|1|M|0|0|0|0|0|0|0|0|0|0|0|0|0
92967401900|201806|12|43|71|73|72|100|10|1|F|0|14484538,28|243143,81|14664732,84|0|14357868|243092,75|14536458,92|0|14228072,47|243045,34|14405024,21|14095074,3
92967417932|201712|58|86|114|147|178|207|24|2||||||||||||||0
92966445558|201806|0|0|0|0|0|0|0|3||||||||||||||
